계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
49,특정계층이용시설,회원이용시설,동답한신아파트경로당,서울특별시 동대문구 답십리로 210-30 (동답한신아파트),서울특별시 동대문구 답십리동 42,,,,127.062579,37.57081,205528.3465,552365.0036
50,특정계층이용시설,회원이용시설,답십리세양청마루아파트경로당,서울특별시 동대문구 답십리로59길 7 (세양청마루아파트103동),서울특별시 동대문구 답십리동 997,,,,127.065549,37.573683,205790.4995,552684.0522
51,특정계층이용시설,회원이용시설,래미안엘파인아파트경로당,서울특별시 동대문구 한천로33길 11 (래미안엘파인아파트관리동),서울특별시 동대문구 답십리동 1000-1,,,,127.066851,37.575611,205905.364,552898.119
52,특정계층이용시설,회원이용시설,청솔우성아파트경로당,서울특별시 동대문구 전농로10길 20 (답십리청솔우성아파트),서울특별시 동대문구 답십리동 80,,,,127.059673,37.574448,205271.3686,552768.6125
53,특정계층이용시설,회원이용시설,답십리두산아파트경로당,서울특별시 동대문구 답십리로56길 21 (두산아파트),서울특별시 동대문구 답십리동 990,,,,127.060205,37.569312,205318.7294,552198.606
54,특정계층이용시설,회원이용시설,답십리두산위브아파트경로당,서울특별시 동대문구 황물로15길 25 (두산위브아파트경비실),서울특별시 동대문구 답십리동 998,,,,127.057694,37.566186,205097.1115,551851.5174
55,특정계층이용시설,회원이용시설,중산경로당,서울특별시 동대문구 답십리로48길 54 (답십리동),서울특별시 동대문구 답십리동 36-31,247.9,80,,127.0576411,37.570363,205092.1535,552315.1128
56,특정계층이용시설,회원이용시설,청솔우성아파트제2경로당,"서울특별시 동대문구  답십리로57길  53   (답십리동, 답십리청솔우성아파트)",서울특별시 동대문구 답십리동 80-1,77,25,,127.061014,37.575242,205389.772,552856.8134
57,특정계층이용시설,회원이용시설,동아아파트제2경로당,서울특별시 동대문구 한천로11길 10,서울특별시 동대문구 답십리동 10-1,70,21,,127.061108,37.5682,205398.584,552075.2385
58,특정계층이용시설,회원이용시설,답십리사랑경로당,서울특별시 동대문구 답십리로60길 70 (답십리동),서울특별시 동대문구 답십리동 2-113,36.3,11,,127.0633999,37.5700972,205600.9197,552285.9397
